name,Predictions,Score
P69776,0,0.26513508
P0ACF0,1,0.83856124
P0A9B2,1,0.71013683
P0A7K2,1,0.81735766
P0ACF4,1,0.8357829
P0AC38,1,0.62451637
P0A910,0,0.48974627
P0A853,1,0.6763321
P0A7J3,1,0.86777675
P0A7R1,1,0.827826
P0A6A8,1,0.7597615
P02359,1,0.6658682
P0AG55,1,0.81577426
P0A7W1,1,0.6765048
P0A7S9,1,0.5631
P61889,1,0.51747787
P61175,1,0.6458465
P0A6F9,1,0.8882879
P02413,1,0.85397685
P0A7R5,1,0.5082663
P0A7W7,1,0.7616991
P0A7M9,1,0.6956413
P0A6P1,1,0.83198464
P0A7U7,1,0.82181835
P0AG44,1,0.6999568
P0AD49,1,0.9166258
P0AG48,1,0.84798986
P0A7J7,1,0.7635512
P0AA10,1,0.8641052
P0A7X3,1,0.7046474
P0A7V3,1,0.68338305
P0AG63,1,0.8430966
P60723,1,0.6626918
P0A7T3,1,0.9062519
P0A7M6,1,0.56653255
P0A7V0,1,0.6737963
P68066,1,0.58485925
P62399,1,0.76345
P0AE08,1,0.8744667
P60624,1,0.8477524
P0A7L0,1,0.72790253
P0AGD3,1,0.8667714
P0A6Y8,1,0.53072363
P0A799,1,0.7409629
P0A7N9,1,0.6823701
P0A9P0,1,0.6708732
P0ACF8,1,0.8909012
P0A836,1,0.6264781
P60422,1,0.6920399
P60438,1,0.79516286
P0A870,1,0.5659352
P0AG67,1,0.61970705
P0A7V8,1,0.572036
P0A7T7,1,0.5606616
P0A6P9,1,0.7394227
P09373,1,0.5451175
P0A862,1,0.87049377
P0A7U3,1,0.7217951
P0A7K6,1,0.8547021
P0A915,0,0.336564
P0AF93,1,0.8821813
P0A6M8,1,0.6473321
P0C018,1,0.7077553
P0AEU7,1,0.6991477
P0A7L3,1,0.6453039
P69783,1,0.84775305
P0ADY3,1,0.59401035
P0AED0,1,0.8433889
P0ADY7,1,0.61275476
P0AG51,1,0.6118156
P0ABT2,1,0.8760973
P0A7L8,1,0.8318384
P0ADZ4,1,0.7021249
P0A7M2,1,0.6723234
P37903,1,0.7331378
P06959,1,0.55722827
P0A912,0,0.27142316
P0A9Y6,1,0.8213037
P02358,1,0.8765446
P0A953,1,0.5989438
P0A7Q6,0,0.37436518
P09394,0,0.4183702
P36683,0,0.34844053
P68699,0,0.17497216
P00509,1,0.6366564
P0A7R9,1,0.62168634
P0ABB0,1,0.54018545
P0A6X3,1,0.5753021
P0AFX0,1,0.73821527
P0AC41,0,0.38533077
P68919,1,0.930449
P0ABB4,0,0.44931713
P00350,1,0.58345187
P23869,1,0.93376684
P0A7A9,1,0.8233158
P0AGF6,0,0.4687016
P0A8F0,1,0.67889094
P0ABH7,1,0.5161484
P0ADZ0,1,0.6210154
P0AC33,0,0.49736175
P0AB71,1,0.7199011
P0ACJ8,0,0.3297174
P07014,0,0.4425354
P0A6Z3,1,0.66939056
P00805,0,0.3616597
P0A7D4,1,0.5530674
P0AEE5,0,0.41077414
P0A7N4,1,0.7668272
P0AF36,1,0.56649566
P63284,0,0.35385406
P0A7P5,1,0.6019276
P0A6A3,1,0.58940506
P0ABA0,1,0.54407847
P0A6X7,1,0.6266955
P0A715,1,0.7905818
P23538,0,0.36502993
P69913,1,0.5421136
P0A8M3,1,0.6180657
P0AGL2,1,0.8199155
P0AEQ3,1,0.57097054
P0ACA3,1,0.6999746
P0A7S3,0,0.48443335
P0AG86,1,0.90300024
Q46803,1,0.78243554
P0C058,1,0.88918895
P0A805,1,0.70011246
P62707,1,0.56380713
P0A825,1,0.6634501
P0AEK4,1,0.60912335
P21599,1,0.5806178
P00363,1,0.52424514
P0A8N3,1,0.52276367
P0AA04,1,0.9127828
P0AD61,1,0.7169168
P0A955,1,0.72864467
P0A8N5,0,0.49493927
P39177,1,0.7829731
P0A707,1,0.707595
P0A972,1,0.8375579
P0ADZ7,0,0.26948175
P17169,0,0.27735975
P0A9A6,1,0.6188246
P0ADP9,1,0.6079829
P0AEK2,1,0.84484756
P0ABQ2,1,0.7124109
P0A6N4,1,0.91606265
P0A717,0,0.30039328
P13029,0,0.3832205
P0ABJ1,0,0.2399483
P63224,1,0.7539793
P0A9M5,1,0.66128546
P0AG59,1,0.84793615
P12758,1,0.7250098
P0A6Y1,1,0.79252136
P0ADU2,1,0.8994783
P0AAI9,1,0.7349245
Q46868,1,0.70975447
P00963,0,0.38979006
P0AC47,1,0.5972289
P0ABA6,0,0.38109708
P0A8M0,0,0.4863019
P22259,1,0.5548687
P0A6Q3,0,0.30528134
P0AA16,1,0.609293
P0A9S5,1,0.5618964
P23827,0,0.28152567
P0AEZ3,1,0.7091874
P00934,1,0.57976294
P38683,0,0.13536236
P0A6Q6,1,0.8619658
P0A8L1,0,0.47535482
P0A6K6,1,0.7372655
P0A9D8,1,0.5437266
P0AC69,1,0.70260966
P0AET2,0,0.20018825
P0ABF6,1,0.6772493
P0AET8,1,0.6346587
P0C054,1,0.8843147
P00561,0,0.2647238
P28635,0,0.4720849
P08839,1,0.6943734
P0AEP3,1,0.6520486
P0A7Z0,1,0.74679726
P0AGE0,1,0.7476982
P0AG30,0,0.42560172
P0AAC0,1,0.5218829
P0A9Q7,0,0.4021995
P0A6L2,1,0.7427138
P00954,0,0.47927767
P0A6L0,1,0.6903404
P0A796,0,0.46451825
P0AC44,0,0.09003189
P61714,1,0.7240676
P0A7Q1,1,0.66393906
P0AC81,1,0.7924061
P0A9X9,1,0.7815757
P0A9M8,0,0.49022704
P0AAA1,0,0.08482394
P0AB77,1,0.514782
P0A6F3,0,0.49629372
P0A8P3,1,0.8064238
P0A7G6,0,0.43586636
P24182,1,0.58306116
P0ABS1,1,0.6232368
P0A8B5,1,0.6665338
P0ABJ9,0,0.15807906
P36938,1,0.5880831
P76558,0,0.36912245
P14407,1,0.6341194
P0AAI5,1,0.5277555
P42632,0,0.40715784
P31979,0,0.4086094
P39173,1,0.79174715
P69222,1,0.589745
P07650,1,0.58166397
P0A817,1,0.6545855
P0A993,1,0.59175175
P0ACE0,1,0.7497944
P0A734,1,0.5457225
P0ABD5,0,0.23288003
P69910,1,0.55225575
P37330,0,0.46667233
P27248,1,0.6920274
P04805,1,0.65917903
P64581,0,0.20043495
P0A9C3,1,0.73285055
P0A6W5,1,0.67695373
P0AB61,1,0.653877
P0A7G2,1,0.7775851
P0AES9,0,0.43688554
P21889,1,0.5518424
P0AD59,0,0.21406253
P61949,1,0.7378469
P37440,1,0.595809
P33599,0,0.3475837
P0A7E5,0,0.49565
P05055,0,0.3434114
P0AG27,0,0.39896208
P0A9A9,1,0.76453394
P69054,0,0.046444435
P35340,1,0.6630622
P08312,1,0.5124767
